Clicker ID,L1711211400_Q1,L1711211400_Q2,L1711211400_Q3,L1711211400_Q4,L1711211400_Q5,L1711211400_Q6,L1711211400_Q7,L1711211400_Q8,L1711211400_Q9,L1711211400_Q10,L1711211400_Q11
#012CF9D4,C,A,C,D,A,D,E,D,C,B,D
#8273D829,A,A,D,A,A,A,A,B,A,B,A
#839D1D03,B,B,B,B,D,E,D,E,B,B,C
#83C3D797,A,A,A,A,A,B,B,B,A,B,A
#84522BFD,B,D,D,D,E,E,D,D,D,D,A
#8477798A,C,C,B,B,D,D,D,D,B,B,B
#84E9204D,B,B,D,D,B,B,E,E,B,C,C
#85FB740A,C,C,A,B,B,B,E,E,C,C,C
#8AAEF8DC,C,B,A,E,E,E,E,E,C,C,C
#8DFDB2C2,C,C,,,,,,,,,
#8E155FC4,B,B,A,A,C,D,D,E,C,B,D
#8E6C6A88,A,E,D,D,B,B,E,E,B,B,C
#8E78FB0D,A,A,B,,A,D,A,A,A,A,A
#8E85D6DD,A,A,A,B,B,A,B,B,A,,A
#8F5175AB,A,B,D,,,E,C,A,,,B
#8FAE7455,B,B,A,D,B,B,E,E,C,C,A
#9139CF67,A,A,A,A,D,D,E,E,A,A,A
#96820014,A,A,,,,,,,,,A
#969B636E,A,D,D,D,D,D,E,E,C,,A
#969BB8B5,A,B,D,A,E,E,E,E,E,C,C
#96A695A5,A,A,D,D,B,B,E,E,B,E,E
#96B4C9EB,E,E,D,D,B,B,E,E,B,B,B
#96DA1F53,B,B,C,C,A,D,E,E,C,C,C
#9811840D,A,A,D,D,D,B,E,E,D,C,A
#982CDC68,B,A,A,,A,A,A,C,B,B,
#98305BF3,A,A,A,A,,,A,A,A,A,A
#993DD074,B,B,D,D,E,B,D,E,C,E,C
#998DD0C4,A,B,A,,B,,C,,B,C,
#99964649,A,A,C,C,D,D,B,E,A,A,A
#9A2EF246,C,D,A,D,E,D,E,E,C,C,C
#9A2EFB4F,B,B,D,D,D,B,E,E,D,C,B
#9A33D871,A,B,E,D,B,B,E,E,D,D,C
#9A55F639,,,D,,,C,,,D,D,
#9A626991,A,A,B,D,E,B,D,D,C,C,D
#9A73B35A,B,B,C,C,B,E,E,E,B,B,D
#9A7D6285,D,D,A,D,E,E,D,E,C,C,A
#9A8BA1B0,D,D,D,D,D,D,E,E,B,B,B
#9AB3D4FD,B,E,B,D,D,B,E,E,C,B,C
#9B71C228,B,D,D,D,D,B,E,E,E,E,A
#9B78D033,A,B,A,E,B,B,E,E,B,C,B
#9B7909EB,D,B,E,E,E,D,E,E,A,C,C
#9B9FA2A6,A,A,D,E,D,B,C,E,C,C,B
#9D4D23F3,A,A,C,C,B,A,E,E,A,C,C
#9D6742B8,D,D,C,C,E,B,E,D,C,B,C
#9D799175,B,B,B,E,D,D,B,B,C,C,A
#9D958D85,B,B,D,D,E,E,E,E,C,C,B
#9EA180BF,B,,B,A,,,,,,,
#A027A621,A,A,B,D,D,D,B,D,D,D,A
#A227C441,D,E,D,D,B,B,E,E,C,C,C
#A2445CBA,D,B,B,C,A,B,E,E,C,C,B
#A245AD4A,A,A,A,B,E,B,E,E,E,E,A
#A24BA940,,,D,D,D,D,E,E,A,A,C
#A258D329,A,A,A,A,E,D,E,E,B,,C
#A57A9C43,B,D,D,D,E,E,E,E,C,C,A
#A91572CE,B,,C,C,E,E,E,E,C,C,A
#ABDF90E4,B,C,B,C,D,C,A,C,C,B,C
